Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.Total 
3302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,1,1,,1,,1,,4,1,1,,1,,2,,1,,1,1,,,,1,1,1,,2,2,1,2,,,2,1,,,1,,,,,,,,1,,,,,,,,34
3303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,1,2,,,,2,,,1,,,,,,,,,,,1,1,1,,1,,,1,,2,2,2,2,1,,,1,1,,3,,,,2,2,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,38
3304,5,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,1,,,,,,,1,,1,,,,,,1,,,1,1,,,2,,1,1,2,,1,,2,,1,1,,1,2,1,1,2,1,2,2,1,,1,1,4,2,2,1,,2,1,1,2,1,,1,,,3,1,1,,,,,,,,,,,,,,,,,,62
4101,25,1,1,1,1,,2,,2,,,,1,1,1,1,4,,1,,5,,3,4,1,3,5,3,5,2,2,1,2,3,1,1,5,6,6,5,3,2,1,5,2,5,8,5,8,4,4,14,13,11,10,14,13,9,13,8,15,13,10,25,19,22,19,21,22,15,26,16,28,30,39,30,36,18,20,26,27,39,25,27,40,38,27,32,24,31,23,17,18,20,14,16,9,7,8,3,3,4,2,,,,,,,,,,1161
4102,16,,1,1,,3,1,,,,1,,,,,1,,,,8,2,3,1,4,2,3,3,1,3,1,1,3,2,1,2,7,3,4,1,5,2,7,5,3,6,8,5,5,7,7,11,17,10,12,9,17,8,17,16,23,17,12,20,17,15,18,20,16,17,24,23,28,24,31,34,26,24,17,34,27,39,24,28,32,32,44,29,29,23,20,18,21,23,13,12,9,5,8,1,4,2,2,,,,,,,,,,,1141
4103,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,2,,,,1,,,,,,,2,,,,2,,,2,1,,1,,1,2,1,1,1,3,4,1,1,3,,1,3,2,2,5,2,3,4,1,,1,6,1,2,,2,3,,,1,,,,,,,,,,,,,,,,,,72
4104,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,,,1,1,1,,,1,,,,,1,,1,,,1,2,,,1,,1,2,,,,1,,,,,,,,,,,,,,,,,,19
4105,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,,1,,,,,1,1,1,1,2,,,3,1,,,2,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,23
4106,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,2,,,,,,1,,1,,,,,,,,1,,1,1,,2,,2,1,2,1,3,,1,,3,,2,1,4,2,2,,5,6,2,2,2,3,3,,2,3,4,3,2,4,5,4,2,4,5,5,3,10,6,2,2,4,1,5,7,1,2,,,2,1,,,,,,,,,,,,149
4201,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,1,1,1,,,,1,1,,,,1,,1,,,1,,1,3,3,4,4,3,2,1,5,3,2,3,3,1,2,3,4,6,3,3,4,4,2,4,6,3,7,6,4,6,4,4,1,2,7,7,11,7,6,10,2,6,1,3,6,,3,2,2,1,1,,,2,1,,,,,,,,,,208
4202,2,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,1,,,,1,,1,,,1,,,1,1,1,1,1,,,,,3,1,2,4,1,1,2,,1,1,3,2,2,3,,5,3,1,2,1,1,1,4,1,1,,,,,,,,,,,,,,,,,,,64
4203,1,,,,,1,,1,,,,,,,,,,,,,1,,,,1,,,,,1,,1,,,,,,,,,,2,,1,,,1,,2,,2,1,,1,2,3,1,2,1,1,1,1,2,2,2,1,2,1,2,4,2,4,4,2,2,4,3,4,3,5,3,1,3,3,3,2,3,5,5,4,,3,1,1,1,1,3,,,1,,,,,1,,,,,,,,122
