Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.110,muertes.111,muertes.112,muertes.113,muertes.Total 
4303,5,,,,,,1,,,,,,,,1,,,1,,1,1,,1,1,1,,1,,1,,,1,,1,,,,,1,,,1,1,,,4,3,3,,,1,,1,,3,1,1,1,,2,2,,5,2,1,4,2,3,2,4,3,4,7,4,2,4,8,3,4,9,2,7,6,5,1,9,1,3,4,4,5,4,2,2,1,4,1,3,1,,,2,1,,,,,,,,,,,,181
4304,,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,,,1,,,1,,,1,1,,,,,,,,1,1,,2,,1,1,,1,,1,,1,1,,1,2,,,1,,1,,2,1,2,2,,2,1,2,2,1,3,2,2,2,4,3,1,2,1,2,1,,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,68
4305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,1,1,1,1,,,,1,,2,1,,,1,1,,1,1,1,3,,2,,1,,,3,2,,3,2,,1,,1,2,,,,1,,,,,,,,,,,,,,,,37
5101,27,2,2,2,,,,2,1,,1,,,,1,1,2,1,3,5,5,2,6,4,4,6,3,,7,2,4,4,6,5,5,1,6,5,8,11,7,7,6,9,9,10,11,16,10,12,24,18,22,19,14,25,20,19,24,21,29,27,34,29,28,33,43,41,35,46,38,37,51,45,67,47,58,42,50,49,59,78,67,57,70,55,66,70,35,53,56,46,29,27,13,11,15,9,7,9,2,5,2,2,2,1,1,,,,,,,,2123
5102,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,1,1,,,,,,,,,2,,,1,,,,1,,1,1,,,2,,3,1,,,3,,,1,1,2,2,1,2,3,3,2,4,1,3,3,3,4,5,1,2,3,6,2,5,7,3,9,6,4,6,4,2,5,2,3,5,2,3,3,,1,1,,,1,1,,,,,,,,,,,,,148
5103,2,,,,,,,,1,,,,,,,,,,,,,1,1,1,1,,,,,1,,1,,1,1,,1,1,,1,,,1,1,2,1,1,,,,1,1,1,1,3,6,3,5,2,2,3,1,3,7,6,1,4,3,3,6,5,1,6,3,4,7,6,6,7,4,2,4,6,6,6,7,6,4,9,6,4,3,2,3,1,2,2,1,,1,,1,,1,,,,,,,,,,,208
5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,3
5105,2,,,,,,,,,,,,,,,,,1,1,1,,,1,2,,,,,,,,,,,,,,,,1,,,1,,,,,,1,1,1,,2,1,1,,,1,,2,,2,1,,2,6,1,2,1,7,,3,6,6,1,2,4,2,2,1,4,4,2,3,3,7,2,2,1,2,2,3,,2,1,1,1,2,3,,,,,,,,,,,,,,,,114
5107,2,,,,,,,1,,,,,,1,,1,,,,2,1,,,1,1,,1,,,,2,1,,,,,2,,,1,,,,,,,1,2,2,2,1,,4,1,2,1,,1,1,,3,4,1,1,4,2,1,1,1,,7,2,5,2,11,5,3,2,2,4,9,7,7,10,12,3,3,2,4,3,3,,,3,1,,,,1,2,,,,,,,,,,,,,,,166
5109,34,1,,,1,1,2,,,,,,1,1,3,3,1,2,4,3,1,2,,4,1,3,3,4,4,1,1,7,6,7,3,4,3,3,5,1,6,9,7,7,7,11,7,11,16,19,13,17,20,18,19,25,26,18,23,24,32,29,23,29,41,34,31,24,38,39,50,47,49,54,50,63,43,67,66,69,73,70,93,87,88,88,63,60,67,59,52,53,49,36,27,26,20,17,19,15,10,8,3,,,,1,,1,1,,1,,,2388
