Comuna,muertes.men1,muertes.1,muertes.2,muertes.3,muertes.4,muertes.5,muertes.6,muertes.7,muertes.8,muertes.9,muertes.10,muertes.11,muertes.12,muertes.13,muertes.14,muertes.15,muertes.16,muertes.17,muertes.18,muertes.19,muertes.20,muertes.21,muertes.22,muertes.23,muertes.24,muertes.25,muertes.26,muertes.27,muertes.28,muertes.29,muertes.30,muertes.31,muertes.32,muertes.33,muertes.34,muertes.35,muertes.36,muertes.37,muertes.38,muertes.39,muertes.40,muertes.41,muertes.42,muertes.43,muertes.44,muertes.45,muertes.46,muertes.47,muertes.48,muertes.49,muertes.50,muertes.51,muertes.52,muertes.53,muertes.54,muertes.55,muertes.56,muertes.57,muertes.58,muertes.59,muertes.60,muertes.61,muertes.62,muertes.63,muertes.64,muertes.65,muertes.66,muertes.67,muertes.68,muertes.69,muertes.70,muertes.71,muertes.72,muertes.73,muertes.74,muertes.75,muertes.76,muertes.77,muertes.78,muertes.79,muertes.80,muertes.81,muertes.82,muertes.83,muertes.84,muertes.85,muertes.86,muertes.87,muertes.88,muertes.89,muertes.90,muertes.91,muertes.92,muertes.93,muertes.94,muertes.95,muertes.96,muertes.97,muertes.98,muertes.99,muertes.100,muertes.101,muertes.102,muertes.103,muertes.104,muertes.105,muertes.106,muertes.107,muertes.108,muertes.109,muertes.112,muertes.118,muertes.121,muertes.Total 
5104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
5105,3,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,1,2,,,1,,,1,,,1,,,1,,1,1,,2,1,4,1,,2,5,1,,1,,4,2,3,3,5,3,,4,,2,3,3,5,1,1,3,2,,2,,1,1,2,1,1,1,,1,,,,,,,,,,,,,,,,86
5106,18,2,,,,,,,,,,1,1,,,1,,3,,2,2,3,1,1,1,2,2,,,1,3,,1,1,2,2,4,1,1,1,4,1,2,2,6,1,1,1,5,7,6,7,5,10,7,11,7,8,9,9,12,15,6,14,12,12,12,14,18,23,23,25,28,26,20,24,27,16,27,25,32,23,17,17,22,26,32,21,19,16,19,14,10,13,15,8,10,6,5,1,,,1,1,,,,,,,,,,873
5107,3,,,,,,,,,,,,,,,,,1,,1,,1,1,,,,,,1,1,2,,,,1,1,,,1,,,1,1,,1,,1,2,,1,,1,1,3,1,1,2,2,2,3,2,3,4,5,2,3,,2,1,2,1,1,5,1,5,5,4,2,7,4,3,1,5,3,1,2,2,3,6,3,,1,1,,2,2,,,1,1,,,,,,,,,,,,,,133
5108,16,,,,,,,1,,,,,,1,,,,,,1,2,,2,,,,1,1,2,2,1,1,2,,1,3,,3,2,3,3,2,3,3,5,5,2,4,1,5,3,3,5,5,6,6,5,7,7,4,7,8,3,4,7,9,6,13,8,12,7,11,13,17,16,19,19,11,15,18,16,21,18,19,24,18,8,14,21,10,12,10,11,14,6,5,4,1,2,,1,1,,,,,,,,,,,,588
5109,26,2,,1,1,1,1,,1,,,1,5,2,2,2,1,2,2,3,1,1,1,,3,3,4,3,4,3,2,4,5,2,2,5,1,4,6,8,7,5,10,8,5,11,10,13,14,10,12,17,11,15,13,21,16,20,20,26,21,23,24,21,26,36,28,41,31,32,40,57,57,58,68,54,72,52,52,75,70,54,44,59,60,45,43,50,38,45,45,33,35,28,24,18,18,11,12,3,6,2,1,1,1,1,,,,,,,,1994
5201,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,1,,,1,,1,,1,,,1,,,,,3,1,2,,,1,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22
5301,10,,,1,,,,,,1,1,,,1,,,,1,1,,1,1,,1,,1,1,,1,1,1,,1,2,1,,1,,,1,1,,1,,2,2,2,3,1,2,1,3,2,,1,5,5,3,3,3,5,5,3,6,6,5,3,2,7,4,6,11,8,7,12,8,9,14,8,11,4,9,4,9,11,8,12,7,14,3,2,6,5,11,2,1,3,,3,1,,1,,,,,,,,,,,,326
5302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,2,,1,1,,,,1,1,1,1,,,2,,,2,,1,,1,1,,1,1,1,2,2,1,,1,2,1,,1,,2,1,1,1,,2,1,1,2,3,2,,,,,1,,,,,,,,,,,,,,,,,,48
5303,,,,,,,,,,,,,1,,,1,,,,,,2,1,,,,,1,,,,1,,,,1,,,,,,,,,,,1,,,,,,,1,,1,,,,,1,,1,,1,1,,,1,,,1,1,1,1,1,,,,,1,,2,2,1,1,1,,,1,1,2,,1,,,,,,,,,,,,,,,,,,,,34
5304,1,,,,,,,,,,,,,,,1,,,,,,,1,,1,,,1,1,,,,,,,,1,1,1,,2,1,,,,2,,1,,,,,,,2,,,1,1,,,1,,2,1,,1,1,,,4,1,3,3,2,2,1,2,2,3,3,1,3,6,2,2,5,3,,,3,1,1,,2,,1,,,,,,,,,,,,,,,,,81
5401,6,,,,,,,,,,,,,,,,1,,,2,,1,1,,,,2,1,1,,1,2,,,1,,2,2,,,2,,1,2,1,1,1,,1,,3,,,2,1,1,2,1,2,4,1,2,1,5,6,5,3,3,1,4,,4,4,5,2,7,4,3,2,6,2,2,7,3,3,3,7,4,4,8,4,1,,1,,1,,1,,,,,,,,,,,,,,,,167
5402,1,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,1,,1,,,1,2,,,1,,,1,,,,,,,,1,1,,,1,2,2,,,,,,1,,1,,,1,1,5,3,3,,2,2,3,1,2,4,1,3,4,5,2,5,4,4,4,1,2,2,4,1,1,2,1,1,1,3,,,,,1,,,,,,,,,,,,,99
5403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,1,,,,,,1,,1,,1,,,,,,1,,1,,,2,1,,1,,1,,,,,2,,2,,,1,,1,,,,,3,,,,,,,,,,,,,,,,,,,,23
5404,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,1,,,,,1,1,,,,1,,2,,,,,,,1,,1,1,1,,2,,,1,2,1,1,,2,1,2,,,2,3,,,,2,3,1,2,2,2,2,2,1,,1,1,3,1,2,1,1,,2,,,1,1,1,,,,,,,,,,,,,63
5405,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,1,,1,,,,,1,1,1,3,1,,1,2,,1,3,,,1,1,3,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,29
